Raw file	Experiment	Fraction	Enzyme	Enzyme mode	Enzyme first search	Enzyme mode first search	Use enzyme first search	Variable modifications	Fixed modifications	Multi modifications	Variable modifications first search	Use variable modifications first search	Requantify	Multiplicity	Max. missed cleavages	Labels0	LC-MS run type	Time-dependent recalibration	MS	MS/MS	MS3	MS/MS Submitted	MS/MS Submitted (SIL)	MS/MS Submitted (ISO)	MS/MS Submitted (PEAK)	MS/MS Identified	MS/MS Identified (SIL)	MS/MS Identified (ISO)	MS/MS Identified (PEAK)	MS/MS Identified [%]	MS/MS Identified (SIL) [%]	MS/MS Identified (ISO) [%]	MS/MS Identified (PEAK) [%]	Peptide Sequences Identified	Peaks	Peaks Sequenced	Peaks Sequenced [%]	Peaks Repeatedly Sequenced	Peaks Repeatedly Sequenced [%]	Isotope Patterns	Isotope Patterns Sequenced	Isotope Patterns Sequenced (z>1)	Isotope Patterns Sequenced [%]	Isotope Patterns Sequenced (z>1) [%]	Isotope Patterns Repeatedly Sequenced	Isotope Patterns Repeatedly Sequenced [%]	Recalibrated	Av. Absolute Mass Deviation [ppm]	Mass Standard Deviation [ppm]	Av. Absolute Mass Deviation [mDa]	Mass Standard Deviation [mDa]	Label free norm param
33_1zu3_90min	33_1zu3_90min	0	Trypsin	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		13787	45372	0	72929	17785	0	55144	892	831	0	61	1.2	4.7	0	0.11	387	592213	28204	4.8	4013	14	29894	12484	11721	42	60	3032	24	+	0.49757	0.65004	0.31466	0.42689	
34_1zu3_90min	34_1zu3_90min	0	Trypsin	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		14152	45273	0	72989	17533	0	55456	814	748	0	66	1.1	4.3	0	0.12	339	468386	28373	6.1	3948	14	27097	12170	11399	45	61	3139	26	+	0.55296	0.73945	0.35353	0.49624	
35_1zu3_90min	35_1zu3_90min	0	Trypsin	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		13435	45836	0	72249	19405	0	52844	1252	1197	0	55	1.7	6.2	0	0.1	525	596368	29914	5	3640	12	32839	14596	13962	44	61	3105	21	+	0.61579	0.82251	0.3976	0.55405	
3_1zu3_wdh	3_1zu3_wdh	0	Trypsin	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		13753	47532	0	68137	26925	0	41212	2350	2212	0	138	3.4	8.2	0	0.33	995	544510	36466	6.7	2660	7.3	49772	22601	22089	45	57	3199	14	+	0.6724	0.92128	0.48785	0.70778	
4_1zu3_90min	4_1zu3_90min	0	Trypsin	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		12078	52456	0	77125	27779	0	49346	2452	2331	0	121	3.2	8.4	0	0.25	1226	619169	37982	6.1	3585	9.4	47336	22758	22225	48	58	3701	16	+	0.71352	0.96785	0.49686	0.71419	
5_1zu3_90min	5_1zu3_90min	0	Trypsin	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		14920	43611	0	68948	18262	0	50686	922	872	0	50	1.3	4.8	0	0.099	378	652488	28816	4.4	3660	13	31933	13431	12745	42	60	3133	23	+	0.58053	0.75317	0.36602	0.50043	
6_1zu3_wdh	6_1zu3_wdh	0	Trypsin	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		13193	46706	0	73199	20197	0	53002	1180	1136	0	44	1.6	5.6	0	0.083	549	468665	32814	7	2889	8.8	34929	16524	15775	47	63	2643	16	+	0.63556	0.83296	0.45369	0.62643	
7_1zu3_90min	7_1zu3_90min	0	Trypsin	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		13720	45549	0	72161	18933	0	53228	1530	1442	0	88	2.1	7.6	0	0.17	562	568326	29532	5.2	3704	13	30637	14162	13501	46	64	3055	22	+	0.58436	0.78448	0.39038	0.55954	
8_1zu3_90min	8_1zu3_90min	0	Trypsin	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		15495	42724	0	67747	17699	0	50048	828	790	0	38	1.2	4.5	0	0.076	363	625575	28379	4.5	3645	13	30838	12889	12140	42	60	3045	24	+	0.52059	0.68489	0.32701	0.44982	
9_1zu3_90min	9_1zu3_90min	0	Trypsin	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		14815	43639	0	70480	16760	0	53720	741	698	0	43	1.1	4.2	0	0.08	323	596679	27471	4.6	3982	14	28802	11667	10806	41	60	3009	26	+	0.52216	0.73008	0.3502	0.53118	
Total																			3791113	13507962	0	19768663	7245763	0	12522900	843753	774807	0	68946	4.3	11	0	0.55	38209	161235984					12754356	5585515	5417039	44	56	929118	17		0.69525	0.94872	0.48925	0.71033	
