Raw file	Experiment	Fraction	Enzyme	Enzyme mode	Enzyme first search	Enzyme mode first search	Use enzyme first search	Variable modifications	Fixed modifications	Multi modifications	Variable modifications first search	Use variable modifications first search	Requantify	Multiplicity	Max. missed cleavages	Labels0	LC-MS run type	Time-dependent recalibration	MS	MS/MS	MS3	MS/MS Submitted	MS/MS Submitted (SIL)	MS/MS Submitted (ISO)	MS/MS Submitted (PEAK)	MS/MS Identified	MS/MS Identified (SIL)	MS/MS Identified (ISO)	MS/MS Identified (PEAK)	MS/MS Identified [%]	MS/MS Identified (SIL) [%]	MS/MS Identified (ISO) [%]	MS/MS Identified (PEAK) [%]	Peptide Sequences Identified	Peaks	Peaks Sequenced	Peaks Sequenced [%]	Peaks Repeatedly Sequenced	Peaks Repeatedly Sequenced [%]	Isotope Patterns	Isotope Patterns Sequenced	Isotope Patterns Sequenced (z>1)	Isotope Patterns Sequenced [%]	Isotope Patterns Sequenced (z>1) [%]	Isotope Patterns Repeatedly Sequenced	Isotope Patterns Repeatedly Sequenced [%]	Recalibrated	Av. Absolute Mass Deviation [ppm]	Mass Standard Deviation [ppm]	Av. Absolute Mass Deviation [mDa]	Mass Standard Deviation [mDa]	Label free norm param
161_107_pur_wdh_20200618171515	161_107_pur_wdh_20200618171515	0	Trypsin	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		15314	44200	0	61030	27370	0	33660	5587	5135	0	452	9.2	19	0	1.3	2897	594874	33774	5.7	2362	7	55416	23110	22686	42	56	3190	14	+	0.59495	0.84789	0.40094	0.61248	
161_108_pur_wdh	161_108_pur_wdh	0	Trypsin	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		13809	48193	0	69758	26624	0	43134	4606	4279	0	327	6.6	16	0	0.76	2263	639019	36450	5.7	2792	7.7	57688	22661	22205	39	53	3015	13	+	0.64377	0.92229	0.43113	0.64766	
161_109_1zu3_wdh	161_109_1zu3_wdh	0	Trypsin	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		14627	45902	0	62768	29032	0	33736	5318	4888	0	430	8.5	17	0	1.3	2703	620731	34890	5.6	2594	7.4	52366	24372	23970	47	56	3411	14	+	0.6116	0.86482	0.41654	0.63131	
161_110_1zu3_90min	161_110_1zu3_90min	0	Trypsin	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		13405	48376	0	72496	24254	0	48242	7999	6660	0	1339	11	27	0	2.8	2079	654523	32954	5	4021	12	58785	17480	16829	30	47	3299	19	+	0.57734	0.83987	0.36141	0.55257	
161_111_pur_wdh	161_111_pur_wdh	0	Trypsin	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		13789	47720	0	68068	27372	0	40696	5132	4770	0	362	7.5	17	0	0.89	2755	561607	35630	6.3	2865	8	48416	22909	22444	47	57	3384	15	+	0.56506	0.80645	0.36915	0.56173	
161_112_1zu3_wdh	161_112_1zu3_wdh	0	Trypsin	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		14984	43927	0	62861	24993	0	37868	4902	4498	0	404	7.8	18	0	1.1	2431	593531	33245	5.6	2672	8	46729	20882	20397	45	57	2962	14	+	0.60799	0.85365	0.39886	0.58728	
161_113_1zu3_90min_wdh	161_113_1zu3_90min_wdh	0	Trypsin	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		13932	49337	0	74479	24193	0	50286	9002	7507	0	1495	12	31	0	3	2268	586751	32056	5.5	3969	12	59032	16108	15373	27	47	3432	21	+	0.61241	0.87085	0.39616	0.59412	
161_114_1zu3_wdh	161_114_1zu3_wdh	0	Trypsin	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		14881	44151	0	62284	26018	0	36266	4998	4621	0	377	8	18	0	1	2455	579646	33769	5.8	2656	7.9	47074	21920	21522	47	58	3106	14	+	0.57428	0.8174	0.37823	0.56825	
161_115_1zu3_90min_20200404200524	161_115_1zu3_90min_20200404200524	0	Trypsin	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		14324	50403	0	72615	28177	0	44438	7627	6618	0	1009	11	23	0	2.3	2120	599801	34840	5.8	3701	11	68205	21256	20764	31	45	3742	18	+	0.62291	0.88596	0.42356	0.64002	
161_116_1zu3_90min	161_116_1zu3_90min	0	Trypsin	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		14075	47320	0	71823	22801	0	49022	7161	6045	0	1116	10	27	0	2.3	2217	591504	32272	5.5	3800	12	55188	16370	15689	30	51	3085	19	+	0.60513	0.87844	0.381	0.58499	
